Branding,DPA 1,DPA 3,DRA 1,DRA 3,Display 1,Display 2,Rmkt 1,Rmkt 3,Rmkt 6,Rmkt 7,Search 1,Search 2,Search 3,Search 4,Search 5,Search 6,Shopping 1,Shopping 2,Shopping 3,Shopping 4,Shopping 5,Shopping 6,Shopping 7,Flag,leads
2478.0050794644,4832.8122248,0.0,747.2224791572,0.0,3575.19531458,1011.3039164944,1610.8231616,0.0,33.65900996484,0.0,1766.207768,597.5740448,13.1406516,1485.4899984,0.0,548.0549696,1024.4087312,7205.62005985504,372.40965894468,1014.7708824,0.0,53.5222784,0.0,1,1
3020.28939326472,3156.2104024,0.0,1383.5386334028,0.0,4525.910010324,3467.966912044,332.0739312,0.0,33.7586698456,0.0,1206.307704,567.9064704,2.7899036,886.359914,0.0,545.8408692,1543.5364448,8170.241226826,217.7880082362,1032.812716,0.0,53.3234892,0.0,1,1
2489.96112702816,3756.498948,0.0,1317.1234701488,0.0,4682.276772468,2259.1572197536,617.9739296,0.0,33.0924998172,0.0,1532.8498116,933.3084392,22.8676128,2168.481706,0.0,650.8769696,1603.2965912,11463.5365724336,179.5549122468,1006.5793964,0.0,53.5771168,0.0,1,1
6105.228528261,3428.7298312,0.0,3817.803960676,32.4163492,4034.434765568,4488.3847169908,1738.5417952,0.0,42.816143294,0.0,3944.5466764,844.7307136,191.1186788,862.1830344,0.0,578.5656844,1176.8869024,3633.8123408224,0.0,404.8513428,0.0,285.9274176,0.0,0,3
1825.8366655444,1345.117404,0.0,655.0245623072,0.0,3731.236199532,2669.721921822,367.7531652,0.0,34.40447015032,0.0,1275.9319076,880.9377672,171.4454028,513.9660492,0.0,470.2666992,243.3454,1086.816132812,231.83905062256,1001.6645048,0.0,66.423012,0.0,1,3
2470.7540103312,1819.5244024,0.0,138.823855162,0.0,2851.391978576,1924.34005860132,233.6390032,0.0,34.2802584324,0.0,1601.79539,793.2443108,17.5688524,1277.6044788,0.0,485.9436268,334.5073852,5943.57288965312,341.87130216368,1000.3758024,0.0,55.1879948,0.0,1,3
7117.94689640496,834.1400476,0.0,0.0,0.0,2475.1963046,3188.4622364,1005.3523872,0.0,33.0191191832,0.0,1892.8296336,1191.2408536,91.4293224,353.4951812,0.0,545.6489348,138.1036556,1946.2667274004,244.1962760418,619.7287584,0.0,410.1295388,0.0,1,4
7098.3146690038,2877.713588,0.0,1219.992900912,0.0,5486.459356176,2850.261005124,916.281116,0.0,30.56604263272,0.0,1108.7570452,1255.730812,20.7906084,444.2732976,0.0,548.0960984,592.3986708,10745.9293929716,147.7778245578,515.13822,0.0,55.0577536,0.0,1,4
7871.83139253792,3587.7886104,0.0,1661.775369836,33.7735996,4144.19889572,1300.6185581116,1036.0756008,0.0,33.66893571524,0.0,4413.5520924,892.2618968,151.9160776,237.8067216,0.0,529.601848,692.6364112,3021.8062378038,526.0309359072,436.9112424,0.0,606.6292356,0.0,0,6
7852.37497773264,1487.4161972,0.0,0.0,35.1582692,3629.895453264,3188.760557296,1033.3473904,0.0,33.00140638,0.0,3903.4864244,1906.0731072,172.4530584,382.2305028,0.0,901.166282,1210.8044528,1428.1753019,182.6999081964,601.1248312,0.0,405.8589984,0.0,0,6
15661.2670306947,3117.1928808,0.0,0.0,34.6030304,3956.250082084,4878.1520381168,551.4069668,0.0,33.65081505144,0.0,4351.015752,1856.9858844,171.5687892,679.0090688,0.0,897.9513808,1156.4664532,4180.9548611396,257.52516799008,552.188414,0.0,67.245588,0.0,0,7
4493.16553007376,4589.7273072,0.0,0.0,35.5969764,4402.91824116,972.1408812,1032.7578776,0.0,33.39503847164,0.0,3331.227156,2121.1561668,189.2884472,235.359558,0.0,550.1731028,202.4976468,603.8256224,157.37515600596,658.2870084,0.0,412.213398,0.0,0,7
2458.98080427524,335.2751228,0.0,0.0,0.0,3716.634378764,3971.235977296,170.1224264,0.0,32.5036724972,0.0,213.35565,1041.2921036,17.3289344,476.5936796,0.0,549.2477048,66.251642,10256.8494826728,167.9137961304,500.537496,0.0,54.4408216,0.0,1,7
2934.72282638624,9930.3979544,0.0,2275.811833768,0.0,9232.94762760236,4304.617804336,375.505944,27.316378,34.37079800176,0.0,538.0126876,3167.8909816,138.6931684,0.0,0.0,579.1003588,1086.7120084,16780.9038355444,156.5075837278,0.0,0.0,0.0,26.7448727596,0,7
